# Time-averaged data for fix av
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
800 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0 0
38 0.9375 0.0679911 0.005
39 0.9625 0.331125 0.03
40 0.9875 0.613211 0.0775
41 1.0125 1.57387 0.2025
42 1.0375 2.05816 0.37
43 1.0625 1.82976 0.5225
44 1.0875 2.46175 0.7325
45 1.1125 2.66426 0.965
46 1.1375 2.24146 1.165
47 1.1625 1.5627 1.3075
48 1.1875 2.20076 1.5125
49 1.2125 2.10282 1.7125
50 1.2375 1.95732 1.9025
51 1.2625 1.59039 2.06
52 1.2875 1.36147 2.1975
53 1.3125 1.57836 2.36
54 1.3375 1.47738 2.515
55 1.3625 1.19296 2.6425
56 1.3875 1.17147 2.77
57 1.4125 1.06048 2.8875
58 1.4375 0.798156 2.9775
59 1.4625 0.915265 3.0825
60 1.4875 0.835605 3.18
61 1.5125 0.969295 3.295
62 1.5375 0.932805 3.4075
63 1.5625 0.61192 3.4825
64 1.5875 1.02388 3.61
65 1.6125 0.672005 3.695
66 1.6375 0.914766 3.8125
67 1.6625 0.670965 3.9
68 1.6875 0.623252 3.9825
69 1.7125 0.725817 4.08
70 1.7375 0.807089 4.19
71 1.7625 0.687144 4.285
72 1.7875 0.962811 4.42
73 1.8125 0.738524 4.525
74 1.8375 0.867233 4.65
75 1.8625 0.821369 4.77
76 1.8875 0.742949 4.88
77 1.9125 0.883218 5.0125
78 1.9375 0.937619 5.155
79 1.9625 0.909435 5.295
80 1.9875 0.897996 5.435
81 2.0125 0.950186 5.585
82 2.0375 1.12623 5.765
83 2.0625 1.08168 5.94
84 2.0875 0.946583 6.095
85 2.1125 1.13151 6.2825
86 2.1375 0.998992 6.45
87 2.1625 0.913753 6.605
88 2.1875 1.01987 6.78
89 2.2125 1.22442 6.9925
90 2.2375 1.02556 7.1725
91 2.2625 1.0424 7.3575
92 2.2875 1.26787 7.585
93 2.3125 1.15769 7.795
94 2.3375 1.19984 8.015
95 2.3625 1.09271 8.2175
96 2.3875 1.08127 8.42
97 2.4125 1.09649 8.6275
98 2.4375 1.15062 8.8475
99 2.4625 1.10011 9.06
100 2.4875 1.10187 9.275
900 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
